,file_name,rating,title,year
0,thirteen_ghosts.pdf,4.1,Thirteen Erotic Ghosts,2002.0
1,sixth-sense.txt,8.1,The Sixth Sense,1999.0
2,alien3_fasano.txt,,alien3_fasano,
3,alien3_gibson.txt,,Bob Reid/DITL Gibson Guitar/Stripper/Frank Caliendo/HD,2005.0
4,alien3_hill.txt,,alien3_hill,
5,alien3_twohy.txt,,alien3_twohy,
6,alien3_red.txt,,Alien 3 Review,2018.0
7,ALIEN3unpickett.txt,,ALIEN3unpickett,
8,alienresurrection_early.txt,6.2,Alien: Resurrection,1997.0
9,alien_5.txt,8.3,Aliens,1986.0
10,aliens_vs_predator.txt,7.1,Aliens vs. Predator,2010.0
11,"American%20Werewolf%20In%20London,%20An.txt",7.5,An American Werewolf in London,1981.0
12,american_werewolf_paris.txt,5.1,An American Werewolf in Paris,1997.0
13,"American%20Werewolf%20In%20Paris,%20An.txt",5.1,An American Werewolf in Paris,1997.0
14,army_of_darkness.txt,7.5,Army of Darkness,1992.0
15,"Birds,%20The.txt",6.2,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0
16,TheBirds.pdf,7.7,The Birds,1963.0
17,BladeTrinity.txt,5.9,Blade: Trinity,2004.0
18,The-Hills-Have-Eyes.pdf,6.4,The Hills Have Eyes,2006.0
19,bm.txt,7.0,Rad,1986.0
20,bm2.txt,,Club M2,2007.0
21,Carnivore%20(Unproduced).txt,,Carnivore(Unproduced),
22,cherryfalls.txt,5.2,Cherry Falls,2000.0
23,crow2037.pdf,,Moving Images Final Film Scarecrow 2011,2011.0
24,cursethe.txt,,Cursed,2020.0
25,dawnofthedead.txt,7.3,Dawn of the Dead,2004.0
26,dayofthedead.txt,7.2,Day of the Dead,1985.0
27,deeprising.txt,6.1,Deep Rising,1998.0
28,orig_script.pdf,,Silent Scream: The Original Script,2009.0
29,bc_draft2.pdf,4.8,Backdraft 2,2019.0
30,Dd5.pdf,3.3,Dead Space,1991.0
31,Doom.pdf,5.2,Doom,2005.0
32,Event%20Horizon.txt,6.7,Event Horizon,1997.0
33,evildead_script.txt,,evildead_script,
34,evildead2script.txt,,evildead2script,
35,army_of_darkness.txt,7.5,Army of Darkness,1992.0
36,Fallen.pdf,7.0,Fallen,1998.0
37,Feast%20-%20Early%20Draft.txt,,Feast-EarlyDraft,
38,Feast%20-%20Revised%20Draft.txt,,Feast-RevisedDraft,
39,finaldestination.txt,6.7,Final Destination,2000.0
40,fvj.txt,5.7,Freddy vs. Jason,2003.0
41,jvsf_bm.txt,,jvsf_bm,
42,FreddyVsJason.pdf,5.7,Freddy vs. Jason,2003.0
43,FreddyVsJason_final_draft.pdf,,FreddyVsJason_final_draft,
44,FreddysDead-TheFinalNightmare.txt,4.9,Freddy's Dead: The Final Nightmare,1991.0
45,Friday1.txt,7.3,Friday,1995.0
46,friday13th3.txt,6.5,Friday the 13th,1980.0
47,friday13th6.txt,6.5,Friday the 13th,1980.0
48,friday13thjasongoestohell.txt,4.3,Jason Goes to Hell: The Final Friday,1993.0
49,duskdawn.txt,7.2,From Dusk Till Dawn,1996.0
50,go_to_hell.pdf,6.5,Drag Me to Hell,2009.0
51,gothika.pdf,5.8,Gothika,2003.0
52,"GRUDGE,THE-2004.01.26-DOUBLE-BLUE.pdf",,"GRUDGE,THE-2004.01.26-DOUBLE-BLUE",
53,halloween_script.txt,7.3,The Halloween Scene,2000.0
54,halloween4.txt,6.6,Halloween,2018.0
55,H20.txt,5.7,Halloween H20: 20 Years Later,1998.0
56,Halloween8_shooting.pdf,,Halloween8_shooting,
57,Hannibal%20-%20Mamet.txt,,Hannibal-Mamet,
58,Hannibal%20-%20Zaillian.txt,,Hannibal-Zaillian,
59,hardware.pdf,6.0,Hardware,1990.0
60,hardware.pdf,6.0,Hardware,1990.0
61,hw2_ground_zero.pdf,6.5,Ground Zero,1987.0
62,Hellboy.txt,5.2,Hellboy,2019.0
63,hr3-910701.txt,,hr3-910701,
64,hr4-95----.pdf,5.6,Pyotr495,2016.0
65,hr6-010221.pdf,,hr6-010221,
66,hr6-001027.pdf,,hr6-001027,
67,DEADER.pdf,5.2,Deader Country,2009.0
68,hr7-020829.pdf,,hr7-020829,
69,The-Hills-Have-Eyes.pdf,6.4,The Hills Have Eyes,2006.0
70,TheHitcher.pdf,7.2,The Hitcher,1986.0
71,horror_inc.pdf,8.1,American Horror Story,2011.0
72,houseOfTheDamned.txt,4.3,House of the Damned,1996.0
73,legend.txt,6.9,Legend,2015.0
74,IAmLegend.txt,7.2,I Am Legend,2007.0
75,iskwydls.txt,,iskwydls,
76,Interview_Vampire.pdf,7.6,Interview with the Vampire: The Vampire Chronicles,1994.0
77,interview.txt,7.0,Intervista,1987.0
78,the_island_of_dr_moreau.pdf,4.6,The Island of Dr. Moreau,1996.0
79,the_island_of_dr_moreau.pdf,4.6,The Island of Dr. Moreau,1996.0
80,friday13thjasongoestohell.txt,4.3,Jason Goes to Hell: The Final Friday,1993.0
81,jvsf_bm.txt,,jvsf_bm,
82,jaws_final_draft.txt,,Edward's Final Draft,2007.0
83,jaws_late_draft.txt,,jaws_late_draft,
84,Jaws.txt,8.0,Jaws,1975.0
85,jaws2finaldraft.txt,,"Style-City Music, H Town, X2, Final Draft, Json, Blind Fury",2011.0
86,Jaws%202.txt,5.8,Jaws 2,1978.0
87,jaws2_revised_final_draft.txt,,jaws2_revised_final_draft,
88,jaws3_1st_draft.txt,,jaws3_1st_draft,
89,jaws_the_revenge.txt,3.0,Jaws: The Revenge,1987.0
90,jeepers2.pdf,5.6,Jeepers Creepers 2,2003.0
91,land-of-the-dead.pdf,6.2,Land of the Dead,2005.0
92,losthighway.txt,7.6,Lost Highway,1997.0
93,lostsouls.txt,4.8,Lost Souls,2000.0
94,jurassic2_thw.txt,,Jurassic Park 2: The Chaos Continues,2012.0
95,Misery.txt,7.8,Misery,1990.0
96,WesCravensNewNightmare.txt,,Wes Craven's New Nightmare,2015.0
97,nightofthehunter.txt,8.0,The Night of the Hunter,1955.0
98,nightmare_on_elm_street2.txt,7.5,A Nightmare on Elm Street,1984.0
99,nightmare3cravenscript.pdf,,nightmare3cravenscript,
100,nightmare_on_elm_street3.txt,7.5,A Nightmare on Elm Street,1984.0
101,A-Nightmare-on-Elm-Street-4.txt,7.5,A Nightmare on Elm Street,1984.0
102,A-Nightmare-on-Elm-Street-5.txt,7.5,A Nightmare on Elm Street,1984.0
103,freddydeadshootingscript.pdf,,freddydeadshootingscript,
104,ne6.txt,4.8,The Marine 6: Close Quarters,2018.0
105,WesCravensNewNightmare.txt,,Wes Craven's New Nightmare,2015.0
106,9thgate.txt,6.7,The Ninth Gate,1999.0
107,Omen.pdf,7.5,The Omen,1976.0
108,Peeping%20Tom.txt,7.7,Peeping Tom,1960.0
109,Poltergeist.pdf,7.3,Poltergeist,1982.0
110,predator.txt,5.4,The Predator,2018.0
111,"Prophecy,%20The.txt",5.5,Prophecy,1979.0
112,Psycho.txt,8.5,Psycho,1960.0
113,Queen_Damned.pdf,5.3,Queen of the Damned,2002.0
114,Rabid%20(1977).txt,6.3,Rabid,1977.0
115,RingText.txt,,String Text,2016.0
116,scream.txt,7.2,Scream,1996.0
117,scream2.txt,6.2,Scream 2,1997.0
118,scream3_early_draft.txt,,scream3_early_draft,
119,Shadow_of_the_Vampire.pdf,6.9,Shadow of the Vampire,2000.0
120,Shivers.txt,6.5,Shivers,1975.0
121,lambs2nddraft.txt,,lambs2nddraft,
122,lambsfinal.txt,,Melissa Lamb's Final Show,2017.0
123,"Silence%20Of%20The%20Lambs,%20The.txt",8.6,The Silence of the Lambs,1991.0
124,sixth-sense.txt,8.1,The Sixth Sense,1999.0
125,"Sixth%20Sense,%20The.txt",8.1,The Sixth Sense,1999.0
126,sleepaway3.pdf,,Sleep Away,2018.0
127,Suspect%20Zero%20(Unproduced).txt,,SuspectZero(Unproduced),
128,suspect-zero_shooting.pdf,,Colorado Shooting Suspect James Holmes Appears in Court,
129,TheThing.txt,8.1,The Thing,1982.0
130,thirteen_ghosts.pdf,4.1,Thirteen Erotic Ghosts,2002.0
131,thirteen_ghosts.pdf,4.1,Thirteen Erotic Ghosts,2002.0
132,totalrecall_5th_draft.txt,,totalrecall_5th_draft,
133,Totalre_final_draft.txt,,Totalre_final_draft,
134,twinpeaksfwwm.txt,7.3,Twin Peaks: Fire Walk with Me,1992.0
135,waxwork.txt,6.2,Waxwork,1988.0
136,WesCravensNewNightmare.txt,,Wes Craven's New Nightmare,2015.0
137,whatliesbeneath.txt,6.6,What Lies Beneath,2000.0
138,When%20A%20Stranger%20Calls.txt,6.5,When a Stranger Calls,1979.0
139,The_Witches_of_Eastwick.pdf,6.5,The Witches of Eastwick,1987.0
140,whitching_hour.txt,,Witching Hour,
